nombre,categoria,tiempo,dificultad,porciones,ingredientes,pasos,img
CUBA LIBRE,bebidas,,Baja,1,"['suficiente de hielo', '1/2 onzas de jugo de limón', '2 onzas de ron blanco', '6 onzas de refresco de cola', 'al gusto de rodaja de limón, para decorar']","['Coloca los hielos en un vaso y vierte el jugo de limón.', 'Integra el ron blanco y el refresco de cola.', 'Mezcla la cuba con una bailarina.', 'Decora la cuba libre con una rodaja de limón.']",https://cdn7.kiwilimon.com/brightcove/10350/10350.jpg
SMOOTHIE DE YOGHURT CON AVENA,bebidas,,Baja,1,"['1 Yoghurt ACTIVIA® Avena sabor durazno', '1/2 plátanos, congelado', '1 cucharadita de jengibre, pelado y rallado', '3 cucharadas de avena', '1 taza de leche', 'al gusto de avena', 'al gusto de hoja de menta, para decorar']","['Licúa el yoghurt ACTIVIA® Avena sabor durazno, el plátano congelado, el jengibre, la avena y la leche por 3 minutos y reserva.', 'Sirve y decora con hojuelas de avena y hojas de menta.']",https://cdn7.kiwilimon.com/brightcove/10307/10307.jpg
BUBBLE TEA DE JAMAICA CON COCO,bebidas,1h,Baja,4,"['suficiente de agua', '2 tazas de perlas de tapioca negra, también puedes usar tapioca blanca', '1/2 tazas de miel de agave, para endulzar y conservar las perlas de tapioca', 'suficiente de agua, para el bubble tea de jamaica', '1 taza de flor de jamaica, para el bubble tea de jamaica', 'al gusto de hielo, para el bubble tea de jamaica', 'al gusto de jarabe natural, para el bubble tea de jamaica', 'al gusto de agua de coco, para el bubble tea de jamaica', 'al gusto de brocheta de fresa con jamaica, para el bubble tea de jamaica']","['Cocina las perlas de tapioca en una olla con suficiente agua a fuego medio por 30 minutos, cuidando que no se peguen y no se evapore el líquido. Además, considera que el tiempo de cocción puede variar dependiendo del tamaño de la tapioca y en el caso de la tapioca blanca, al ser más pequeña, podría estar lista en 40 minutos.\n\nSabrás que la tapioca blanca está lista cuando se vea transparente, mientras que la tapioca negra estará lista cuando esté suave, ligeramente transparente y su tamaño haya aumentado.\n\nCuando las perlas estén listas, transfiérelas a un bowl, vierte la miel de agave y deja enfriar.', 'Para el bubble tea de jamaica: cocina la flor de jamaica en una olla por 10 minutos. Deja enfriar y reserva.', 'En un vaso alto, agrega las perlas de tapioca, los hielos, el jarabe, el agua de coco y por último el concentrado de jamaica. Decora el bubble tea con la brocheta de fresa.']",https://cdn7.kiwilimon.com/brightcove/10301/10301.jpg
PULQUE CURADO DE AVENA,bebidas,,Baja,2,"['1 taza de avena', '1 litro de pulque, natural', '1 taza de azúcar', '1 cucharada de canela en polvo']","['Reposa la avena con el pulque durante 30 minutos en refrigeración.', 'Licúa el pulque con el azúcar y la canela hasta que este todo bien incorporado.', 'Cuela y sierve frio.']",https://cdn7.kiwilimon.com/brightcove/10296/10296.jpg
BELLINI DE DURAZNOS EN ALMÍBAR,bebidas,,Baja,1,"['1 lata de durazno en almíbar, sin almíbar', '1/2 tazas de agua', '1 onza de jugo de limón', 'al gusto de vino espumoso']","['Coloca el durazno, el agua y el jugo de limón en la licuadora.', 'Licúa por 2 minutos.', 'Sirve 1 1/2 onza del concentrado de durazno en la copa y vierte el vino espumoso.', 'Mezcla y disfruta del mejor bellini de durazno.']",https://cdn7.kiwilimon.com/brightcove/10284/10284.jpg
TÉ Y LIMONADA DE BUGAMBILIA,bebidas,5 mins,Baja,2,"['2 tazas de agua, para el té', '10 flores de bugambilia , para el té', 'al gusto de miel, para la limonada de bugambilia', '1 taza de té de bugambilia, para la limonada de bugambilia', '1/4 tazas de jugo de limón, para la limonada de bugambilia', 'al gusto de hielo, para la limonada de bugambilia', 'al gusto de agua mineral, para la limonada de bugambilia']","['Para el té de bugambilia: Calienta el agua en una olla pequeña, cuando comience a hervir, apaga el fuego. Añade las flores de bugambilia, deja reposar de 3 a 5 minutos, cuela y sirve el té.', 'Para la limonada de bugambilia: mezcla la miel con el té de bugambilia frío hasta que se disuelva, vierte el jugo de limón, agrega el hielo y añade un toque de agua mineral.', 'Disfruta de este té y limonada, ¡son bebidas refrescantes que también cuidan tu salud!']",https://cdn7.kiwilimon.com/brightcove/10272/10272.jpg
BEBIDA DE MAZAPÁN CON PERLAS DE TAPIOCA,bebidas,1h,Baja,4,"['suficiente de agua', '2 tazas de perlas de tapioca negra, también puedes usar tapioca blanca', '1/2 tazas de miel de agave, para endulzar y conservar las perlas de tapioca', '1/2 tazas de leche condensada, para el bubble tea de mazapán', '1/2 tazas de leche evaporada, para el bubble tea de mazapán', '3/4 tazas de leche, para el bubble tea de mazapán', '2 mazapanes, para el bubble tea de mazapán', 'suficiente de hielo, para el bubble tea de mazapán', 'al gusto de crema batida, para el bubble tea de mazapán', 'al gusto de canela en polvo, para el bubble tea de mazapán']","['Cocina las perlas de tapioca en una olla con suficiente agua a fuego medio por 30 minutos, cuidando que no se peguen y no se evapore el líquido. Además, considera que el tiempo de cocción puede variar dependiendo del tamaño de la tapioca y en el caso de la tapioca blanca, al ser más pequeña, podría estar lista en 40 minutos. Sabrás que la tapioca blanca está lista cuando se vea transparente, mientras que la tapioca negra estará lista cuando esté suave, ligeramente transparente y su tamaño haya aumentado. Cuando las perlas estén listas, transfiérelas a un bowl, vierte la miel de agave y deja enfriar.', 'Para el bubble tea de mazapán: licúa la leche condensada, la leche evaporada, la leche, el mazapán por 5 minutos o hasta obtener una mezcla homogénea. Sirve un poco de tapioca en un vaso, añade el hielo, vierte la bebida de mazapán y decora con crema batida, canela en polvo y mazapán.']",https://cdn7.kiwilimon.com/brightcove/10265/10265.jpg
VIRGIN MARY,bebidas,,Baja,1,"['suficiente de hielo', '1 1/2 onzas de jugo de limón', '1/2 cucharaditas de Salsa Búfalo® Clásica', '1/2 onzas de salsa inglesa', '300 mililitros de Mix de verduras Herdez 8®', 'al gusto de sal de apio', 'al gusto de pimienta', 'al gusto de apio, 1 tallo, para decorar']","['Sirve hielo en el vaso.', 'Vierte el jugo de limón, la salsa inglesa, la Salsa Búfalo® Clásica, el mix de verduras Herdez 8®, la sal de apio y la pimienta.', 'Revuelve el Virgin Mary con una bailarina.', 'Decora el mocktail Virgin Mary con un tallo de apio y ¡disfruta!']",https://cdn7.kiwilimon.com/brightcove/10264/10264.jpg
RECETA DE HORCHATA DE CAFÉ,bebidas,7 mins,Baja,4,"['1/2 tazas de Harina de Arroz Tres Estrellas®', '2 tazas de agua', '1/2 rajas de canela', '1 lata de leche condensada', '1 cucharada de esencia de vainilla', '1 litro de agua', '1 lata de leche evaporada, caliente, para disolver', '3 cucharadas de café soluble, caliente, para disolver', 'al gusto de canela en polvo']","['Coloca la Harina de arroz Tres Estrellas® en un bowl, vierte el agua y disuelve. Reserva.', 'Licúa la preparación anterior con la canela y la leche condensada. Reserva.', 'Calienta el agua en una olla a fuego medio la preparación anterior y cocina a fuego medio por 7 minutos. Deja enfriar y reserva.', 'Disuelve la leche evaporada con el café soluble y mezcla hasta integrar. Reserva.', 'Sirve la horchata con el litro de agua para disolver en un vaso con hielos, agrega la preparación de café y decora con canela en polvo.']",https://cdn7.kiwilimon.com/brightcove/10256/10256.jpg
MALTEADA DE AGUACATE,bebidas,,Baja,2,"['1 plátano, congelado', '1 aguacate', 'al gusto de miel', '1 cucharada de vainilla clara', '2 1/2 tazas de leche de coco', 'al gusto de nibs de cacao , para decorar', 'al gusto de plátano, en rodajas, para decorar']","['Licúa el plátano, el aguacate, la miel, la vainilla y la leche de coco hasta que todos los ingredientes estén bien integrados.', 'Sirve la malteada en vasos y decora con nibs de cacao y plátano.']",https://cdn7.kiwilimon.com/brightcove/10245/10245.jpg
