nombre,categoria,tiempo,dificultad,porciones,ingredientes,pasos,img
MANZANAS CON CHAMOY,botanas,,Baja,1,"['2 tazas de agua, para el chamoy', '1 taza de jugo de mango, para el chamoy', '1 taza de flor de jamaica, para el chamoy', '1 taza de orejones de chabacano, para el chamoy', '10 manzanas golden perón', '1 taza de Skwinkles® Chunks']","['Para el chamoy: calienta el agua y el jugo de mango en una olla. Agrega la jamaica, los orejones de chabacano y el azúcar y cocina por 15 minutos. Deja enfriar.', 'Licúa la preparación anterior y reserva.', 'Inserta un palito de paleta en las manzanas, sumerge en el chamoy y cubre con Skwinkles® Chunks.', 'Coloca las manzanas con chamoy sobre una base para paletas. ¡Disfruta!']",https://cdn7.kiwilimon.com/brightcove/10257/10257.jpg
CHORIZO A LA CERVEZA,carnes-y-aves,10 mins,Baja,4,"['1 kilo de chorizo', '1/2 cebollas, finamente picado', '1 diente de ajo, finamente picado', '1 lata de cerveza clara', '1 cucharadita de miel', '1 cucharada de mostaza', 'al gusto de perejil, finamente picado', 'al gusto de baguette, para acompañar']","['Corta el chorizo en rodajas de un dedo de grosor. Cocina en una sartén a temperatura media por 3 minutos. Agrega la cebolla y el ajo y cocina por 2 minutos más.', 'Agrega la cerveza, la miel y la mostaza. Cocina durante 5 minutos o hasta que la cerveza haya reducido a la mitad.', 'Sirve el chorizo, espolvorea con perejil y acompaña con rebanadas de pan o tortillas de harina.']",https://cdn7.kiwilimon.com/brightcove/10255/10255.jpg
PIZZA ROLLS EN SARTÉN,platos-fuertes,10 mins,Baja,8,"['1 caja de harina para pizza Tres Estrellas®', '1 taza de agua, tibia', 'al gusto de salsa para pasta La Moderna®', '1 1/2 tazas de queso manchego, rallado', '1 taza de pepperoni', 'al gusto de albahaca, fresca, finamente picada']","['Agrega la Harina para pizza Tres Estrellas® en un bowl, vierte lentamente el agua y amasa a mano durante 12 minutos o hasta obtener una consistencia elástica. Bolea la masa, tapa con un trapito y déjala reposar en un bowl durante 20 minutos o hasta que doble su tamaño.', 'Poncha la masa y, con la ayuda de un rodillo, extiende en una superficie plana con un poco de harina; cuando tengas la masa extendida esparce un poco de salsa para pasta La Moderna®, espolvorea queso y pepperoni, enrolla y corta rollos de 2 dedos de grosor.', 'Acomoda los rollos de pizza en una sartén de hierro fundido. Espolvorea un poco más de queso, tapa y cocina a fuego bajo.', 'Sirve los pizza rolls en un platón y decora con albahaca, ¡acompaña con más salsa para pasta La Moderna®!']",https://cdn7.kiwilimon.com/brightcove/10252/10252.jpg
DIP DE JALAPEÑO CON ELOTE,botanas,,Baja,6,"['1 taza de queso crema, a temperatura ambiente', '1 taza de queso de cabra, a temperatura ambiente', '1 taza de crema ácida', '1/2 tazas de jalapeño, sin semillas y finamente picado', '1 taza de grano de elote amarillo', '3 cucharadas de cebollín', '1 taza de chistorra, frita, finamente picada', '1 cucharadita de ajo en polvo', 'al gusto de sal', 'al gusto de pimienta', '1 Lechuga Hidropónica Sweet Crunchy Eva®', 'al gusto de chiles jalapeños en vinagre', 'al gusto de chistorra']","['En un bowl, mezcla el queso crema, el queso de cabra y la crema ácida con una espátula de silicón. Posteriormente, añade el chile jalapeño, los granos de elote amarillo, el cebollín, la chistorra y el ajo y mezcla hasta integrar.', 'Transfiere el dip a un tazón y deja reposar durante 15 minutos antes de servir.', 'Pon el dip sobre un plato suficientemente grande, coloca la Lechuga Hidropónica Sweet Crunchy Eva® alrededor para dipear, acompaña con jalapeños en vinagre y chistorra.']",https://cdn7.kiwilimon.com/brightcove/10244/10244.jpg
CEVICHE DE SURIMI BOTANERO,pescados-y-mariscos,,Baja,6,"['1 taza de cebolla morada, finamente picada', '1 taza de jitomate, en cubitos', '1 taza de aguacate, en cubitos', '1 taza de pepino, en cubitos', '1 taza de mango, en cubitos', '1 1/2 tazas de jícama, en cubitos', '1 1/2 tazas de surimi, en cubitos', '1 taza de cilantro, finamente picado', '1 taza de Salsa la Botanera® muy picante', '1 cucharada de Chilito La Botanera®', '1/2 tazas de jugo de limón', 'suficiente de sal', 'suficiente de pimienta', 'al gusto de aguacate, en láminas', 'al gusto de totopos, para acompañar']","['En un bowl, mezcla la cebolla, el aguacate, el pepino, la jícama, el surimi, el cilantro, la Salsa la Botanera® muy picante y Chilito la Botanera® el jugo de limón. Posteriormente, sazona y mezcla el ceviche de surimi hasta integrar.', 'Sirve el ceviche de surimi botanero en vasos pequeños, decora con aguacate y acompaña con totopos.']",https://cdn7.kiwilimon.com/brightcove/10239/10239.jpg
UVAS ENCHILADAS,botanas,,Baja,4,"['2 tazas de barra de tamarindo natural', '2 tazas de uvas verdes, sin semillas', '1 taza de chile en polvo ácido , para cubrir las uvas', '1/4 tazas de chamoy, sin azúcar', '2 cucharaditas de jugo de limón', '2 cucharaditas de salsa picante', '1/2 cucharaditas de chile en polvo ácido , sin sodio', '2 paquetes de Skwinkles® Chunks']","['Coloca los tamarindos sobre una tabla con papel encerado y forma dos filas. Cubre con otro pedazo de papel encerado y usa un rodillo para aplanar el tamarindo para formar una capa delgada. Corta cuadritos del doble del tamaño de las uvas, cubre cada una de las uvas y pasa por el bowl de chile en polvo. Reserva en refrigeración.', 'En un bowl, mezcla el chamoy, el jugo de limón, la salsa picante, el chile en polvo. Reserva.', 'Sirve las uvas enchiladas en un bowl, agrega los Skwinkles® Chunks y baña con la salsa.']",https://cdn7.kiwilimon.com/brightcove/10221/10221.jpg
NACHOS A LA MEXICANA,botanas,10 mins,Baja,8,"['suficiente de aceite vegetal', '2 tazas de chorizo', '500 gramos de carne molida de res', '1 cucharada de cebolla en polvo', '1 cucharada de ajo en polvo', '1 cucharada de paprika', 'al gusto de sal', 'al gusto de pimienta', '800 gramos de nachos', '2 tazas de frijoles bayos, enteros', '2 tazas de queso amarillo líquido', '1 taza de queso manchego, rallado', 'al gusto de chile jalapeño', 'al gusto de pico de gallo', 'al gusto de guacamole', 'al gusto de crema ácida']","['Calienta aceite en una sartén, añade el chorizo y cocina durante 3 minutos. Posteriormente, incorpora la carne molida, la cebolla en polvo, el ajo en polvo, la paprika, la sal y la pimienta y cocina por 12 minutos más o hasta que todos los ingredientes estén bien cocidos.', 'Coloca los nachos en un refractario y agrega la carne y el chorizo, los frijoles, el queso amarillo líquido y el queso manchego. Hornea hasta que el queso manchego se haya gratinado.', 'Sirve los nachos a la mexicana y acompaña con chiles jalapeños, pico de gallo, guacamole y crema ácida.']",https://cdn7.kiwilimon.com/brightcove/10215/10215.jpg
ALITAS CON SALSA CREMOSA,carnes-y-aves,25 mins,Baja,4,"['1 kilo de alitas de pollo, limpias', '3/4 tazas de fécula de maíz', '1 taza de harina', '1 cucharada de paprika', '1 cucharada de ajo en polvo', '2 cucharaditas de polvo para hornear', '1 cucharadita de pimienta negra', '1 cucharadita de sal', '3/4 tazas de agua', 'suficiente de aceite vegetal', '2 cucharadas de mantequilla', '1/4 tazas de mayonesa con jugo de limones McCormick®', '1 taza de salsa búfalo', '1/4 tazas de salsa de habanero', 'al gusto de aderezo ranch', 'al gusto de pepino, en tiras, para acompañar']","['Mezcla la fécula de maíz, la harina, la paprika, el ajo en polvo, el polvo para hornear, la pimienta negra y la sal en un bowl, después vierte el agua. Mezcla hasta tener una mezcla homogénea y cubre las alitas.', 'Calienta aceite vegetal en una olla a fuego medio-alto, agrega de 4 a 5 alitas y fríe por 15 minutos o hasta que estén doradas. Retira las alitas de pollo y coloca sobre un plato con papel absorbente.', 'En un bowl, agrega la mantequilla, añade la Mayonesa con jugo de limones McCormick®, la salsa búfalo y la salsa de habanero. Mezcla las alitas con la salsa.', 'Sirve las alitas con la salsa cremosa en una tabla con papel encerado y acompaña con aderezo y pepinos.']",https://cdn7.kiwilimon.com/brightcove/10208/10208.jpg
CHAROLA DE PEPINOS PICOSOS,botanas,15 mins,Baja,12,"['5 pepinos persas', '3 tazas de pulpa de tamarindo', '3/4 tazas de agua', 'al gusto de chile en polvo', '1 taza de Skwinkles® Chunks', '3/4 tazas de cacahuate', '1/4 tazas de Skwinkles® Chunks', 'al gusto de salsa picante']","['En una olla, calienta el tamarindo y el agua durante 15 minutos o hasta que espese. Retira del fuego y deja reposar en refrigeración durante 30 minutos o hasta que la mezcla esté sólida.', 'Extiende la pasta de tamarindo, cubre los pepinos uno a uno, pasa por los Skwinkles® Chunks picados, espolvorea con chile en polvo y corta en rebanadas.', 'Coloca rebanadas de pepino en una charola, decora con Skwinkles® Chunks y cacahuates y baña con la salsa picante. Ahora sí, es hora de disfrutar de esta charola de pepinos picosos, ¡es la botana ideal!']",https://cdn7.kiwilimon.com/brightcove/10194/10194.jpg
SALCHICHAS ENCHIPOTLADAS,botanas,10 mins,Baja,6,"['1/4 tazas de chile chipotle adobado', '1 taza de queso crema, en cubos medianos', '1 taza de caldo de jitomate', '1 taza de caldo de pollo', '1 taza de crema ácida', 'al gusto de sal', '2 cucharadas de mantequilla, en cubos medianos', '1 taza de cebolla, finamente picado', '4 tazas de salchicha, rebanada', 'al gusto de cilantro, finamente picado']","['Licúa el chipotle, el queso crema, el caldo de jitomate, el caldo de pollo, la crema ácida y la sal por 2 minutos. Reserva.', 'Calienta la mantequilla en una olla, derrítela a fuego media, agrega la cebolla, dora por 5 minutos, incorpora las salchichas y fríe por 5 minutos más.', 'Agrega la salsa de chipotle y cocina las salchichas enchipotladas por 5 minutos más.', 'Sirve las salchichas con chipotle en un bowl y decora con cilantro.']",https://cdn7.kiwilimon.com/brightcove/10177/10177.jpg
