nombre,categoria,tiempo,dificultad,porciones,ingredientes,pasos,img
CACEROLA DE FIDEO SECO,guarniciones-de-exito,25 mins,Baja,4,"['2 jitomates, asado', '1 chile ancho, limpio e hidratado', '1 chile guajillo, limpio e hidratado', '1 diente de ajo', '1/4 cebollas', '2 tazas de caldo de pollo', 'al gusto de sal', 'al gusto de pimienta', '2 cucharadas de aceite', '220 gramos de fideo', '1/4 tazas de puré de tomate', 'al gusto de aguacate, en cubos, para decorar', 'al gusto de cebolla morada, en rodajas, para decorar', 'al gusto de queso fresco, rallado, para decorar', '1 Del Valle Frut® Cítricos, de 2 litros, para acompañar']","['Licúa a velocidad máxima el jitomate, el chile ancho, el chile guajillo, el ajo, la cebolla, y el caldo de pollo, sazona con sal y pimienta. Reserva', 'En una cacerola a fuego medio vierte el aceite y, cuando esté bien caliente, agrega el fideo; cocina durante 10 minutos moviendo constantemente hasta que cambie de color. Después añade lo que licuaste anteriormente junto con el puré de tomate y mezcla perfectamente.', 'Tapa y cocina 10 minutos a fuego medio bajo hasta que el líquido se haya consumido. Retira del fuego y prueba si te gusta la sazón.', 'Sirve en una cacerola, decora con aguacate, cebolla y espolvorea queso. Disfruta junto con el refrescante Del Valle Frut ® Cítricos.']",https://cdn7.kiwilimon.com/brightcove/10344/10344.jpg
RECETA DE ARROZ AL CILANTRO,guarniciones,20 mins,Baja,6,"['1/4 tazas de agua, para la salsa de cilantro', '1 taza de cilantro, para la salsa de cilantro', '1/2 cebollas, para la salsa de cilantro', '1 diente de ajo, para la salsa de cilantro', 'al gusto de sal, para la salsa de cilantro', 'al gusto de pimienta, para la salsa de cilantro', '1 cucharada de aceite, para el arroz', '1/4 tazas de cebolla, finamente picada, para el arroz', '1 taza de arroz, remojado en agua caliente', '1/2 tazas de elote amarillo, para el arroz', '2 tazas de caldo de pollo, para el arroz', 'al gusto de cilantro, para decorar', '1 Del Valle Frut® Cítricos, para acompañar']","['Licúa el agua, el cilantro, la cebolla, el ajo y sazona con sal y pimienta, hasta obtener una mezcla homogénea; reserva.', 'En una cacerola a fuego medio, calienta el aceite y agrega la cebolla (esto ayudará a que al cocer el arroz obtenga un sabor más rico), una vez que esté un poco dorada la cebolla, vierte el arroz; cocina por 3 minutos moviendo constantemente hasta que cambie de color el arroz a un dorado.', 'Vierte la salsa de cilantro, mezcla un poco para integrar sabores, deja cocinar a fuego bajo por 5 minutos.', 'Vierte el caldo de pollo, mezcla muy bien y cocina durante 5 minutos. Incorpora los granos de elote y cocina hasta que el caldo se haya consumido. Sabrás que el arroz está listo cuando esté esponjoso y suave.', 'Sirve en un plato extendido para comerlo en familia y decora con hojas de cilantro; no olvides acompañar este delicioso arroz al cilantro con un vaso de Del Valle Frut® Cítricos.']",https://cdn7.kiwilimon.com/brightcove/10335/10335.jpg
¿CÓMO HACER CEBOLLAS CARAMELIZADAS?,faciles,15 mins,Baja,6,"['4 cebollas, grandes', '2 cucharadas de mantequilla', '1 cucharadita de sal', '1 sándwich de queso y tocino', 'al gusto de papas a la francesa']","['Corta las cebollas a la mitad y, posteriormente, en forma de pluma. Reserva.', 'Derrite la mantequilla en una sartén a fuego medio. Agrega la cebolla y la sal, revuelve muy bien y cocina por 10 minutos. Cocina 5 minutos más a fuego medio-bajo, removiendo cada cierto tiempo para evitar que se queme. Notarás como las cebollas empiezan a tener un color café claro.', 'Coloca las cebollas caramelizadas en un sándwich y disfruta.']",https://cdn7.kiwilimon.com/brightcove/10334/10334.jpg
PURÉ DE PAPA KIWILIMÓN,guarniciones,25 mins,Baja,6,"['suficiente de agua', '5 papas blancas, cocida y cortada en cubos', 'suficiente de sal', '1/2 tazas de mantequilla', '1/2 tazas de crema para batir', 'al gusto de sal', 'al gusto de pimienta', 'al gusto de cebollín']","['Cocina las papas con sal en una olla con agua, cocina durante 20 minutos o hasta que estén cocidas, escurre y reserva.', 'Derrite la mantequilla en una olla a temperatura media, agrega las papas y aplasta hasta obtener un puré.', 'Agrega crema para batir, sal y pimienta y mezcla hasta integrar.', 'Sirve el puré de papa en un tazón y decora con cebollín.']",https://cdn7.kiwilimon.com/brightcove/10289/10289.jpg
TORTILLAS DE LINAZA,faciles,3 mins,Baja,4,"['2 tazas de harina de linaza', '1 1/2 tazas de agua, calientes', 'suficiente de cebolla en polvo', 'suficiente de sal de perejil', 'suficiente de pimienta']","['En un bowl, mezcla la harina de linaza, el agua caliente, la cebolla en polvo, el perejil en polvo, la sal y la pimienta. Mezcla hasta formar una masa. Reserva.', 'Divide la masa para tortillas de linaza y extiende con un rodillo.', 'Calienta un comal, coloca una tortilla de linaza y cocina durante 3 minutos o hasta que esté cocida por ambos lados.', 'Repite el proceso hasta terminar con la masa de linaza y disfruta de esta opción ligera y saludables para tus comidas y cenas.']",https://cdn7.kiwilimon.com/brightcove/10217/10217.jpg
PAPAS RELLENAS DE CARNE ASADA,guarniciones,40 mins,Baja,4,"['suficiente de agua', 'suficiente de sal', '6 papas', '1 taza de mantequilla', '3/4 tazas de crema ácida', 'al gusto de pimienta', 'al gusto de queso manchego, rallado', '500 gramos de arrachera', 'al gusto de sal', 'al gusto de pimienta', '1 taza de cerveza clara', '1/2 tazas de salsa inglesa', 'al gusto de guacamole']","['Agrega sal y las papas en una olla con agua hirviendo. Cocina hasta que estén suaves.', 'Corta las papas en trozos medianos, coloca en una sartén de hierro, agrega la mantequilla y la crema ácida y aplasta ligeramente. Posteriormente, agrega la pimienta y el queso manchego y hornea a 200 °C por 15 minutos.', 'Sazona la arrachera con sal, pimienta, cerveza y salsa inglesa. Asa la carne durante 3 minutos de cada lado o hasta obtener el término que más te guste.', 'Coloca la carne sobre las papas, termina con guacamole y disfruta de las mejores papas rellenas.']",https://cdn7.kiwilimon.com/brightcove/10159/10159.jpg
PAPAS DE CAMOTE,guarniciones,15 mins,Baja,4,"['2 camotes', '3 cucharadas de aceite', '1 1/2 cucharadas de fécula de maíz', 'al gusto de sal', 'al gusto de ajo en polvo', 'al gusto de paprika', 'al gusto de pimienta', '1 cucharada de aceite vegetal, para hornear']","['Corta los camotes en gajos, coloca en un bowl junto con el aceite y mezcla hasta que todo esté bien incorporado. Reserva.', 'Mezcla la fécula de maíz, la sal, el ajo en polvo, la paprika y la pimienta en un bowl. Espolvorea las papas de camote con la mezcla de especias y mezcla hasta que todo esté bien integrado.', 'Hornea las papas de camote a 180 °C durante 15 minutos o hasta que estén doradas y bien cocidas.', 'Sirve las papas de camote y acompaña con cátsup.']",https://cdn7.kiwilimon.com/brightcove/10134/10134.jpg
FRIJOLES CON CHICHARRÓN,guarniciones,2h,Baja,6,"['1 1/2 tazas de frijol pinto, limpios y remojados por 1 hora', '4 tazas de agua', '1/4 cebollas', '1/2 cabezas de ajo', '1 1/2 tazas de manteca de cerdo', '2 tazas de pork belly, en cubos medianos', 'suficiente de sal', '1 taza de cebolla, finamente picada', '1/2 tazas de chile jalapeño, en rebanadas', '1 cucharada de ajo, finamente picado', 'al gusto de sal', 'al gusto de hoja de cilantro, para decorar', 'al gusto de tortillas de maíz, para acompañar']","['Agrega los frijoles, el agua, el epazote, la cebolla y el ajo en una olla de presión. Tapa y cocina por 45 minutos. Retira y reserva.', 'En una olla, calienta la manteca a fuego medio, agrega la carne y la sal y cocina 1 hora o hasta que esté dorada y crujiente. Retira y reserva. Reserva un poco de la manteca.', 'En una olla, agrega un poco de la manteca del chicharrón, añade la cebolla, el jalapeño y el ajo y cocina por 5 minutos. Incorpora los frijoles y el chicharrón, sazona con sal y reserva.', 'Sirve los frijoles con chicharrón en un plato hondo, decora con hojas de cilantro y acompaña con tortillas.']",https://cdn7.kiwilimon.com/brightcove/10094/10094.jpg
¿CÓMO HACER PAPAS A LA FRANCESA?,guarniciones,15 mins,Baja,6,"['10 papas', 'suficiente de agua', 'suficiente de harina', '1 cucharada de ajo en polvo', '1 cucharada de sal', 'suficiente de aceite vegetal, para freír las papas', 'suficiente de sal']","['Pela cada una de las papas y corta en bastones de 1 cm x 1 cm de ancho, con el mismo largo de la papa. Las papas tienen que ser casi del mismo tamaño para que al momento freírlas, estas requieran el mismo tiempo de cocción. Coloca las papas en agua al momento de cortarlas para que no se oxiden.', 'Retira las papas del agua y seca muy bien.', 'Mezcla la harina, el ajo en polvo y la sal en un bowl. Agrega la papas a la mezcla y cúbrelas muy bien. Quita el exceso de harina.', 'Calienta el aceite vegetal en una olla a fuego medio alto. Para determinar si está bien caliente, agrega un poco de harina y si se forman burbujas, significa que el aceite ya está listo.', 'Agrega un puño de papas espolvoreadas con harina y fríe de 10 a 12 minutos. Cuando las papas estén doradas, retira y coloca en un plato con papel absorbente. Inmediatamente después, espolvorea con un poco de sal.', 'Disfruta de las papas la francesa con cátsup.']",https://cdn7.kiwilimon.com/brightcove/9990/9990.jpg
¿CÓMO HACER ENSALADA RUSA?,guarniciones,10 mins,Baja,4,"['2 tallos de apio', '2 papas', '4 zanahorias', '1 taza de chícharo, cocido', 'suficiente de agua, para cocer los vegetales', 'suficiente de sal, para cocer los vegetales', '1/2 tazas de crema ácida, para el aderezo', '1/2 tazas de mayonesa, para el aderezo', '1 cucharada de mostaza, para el aderezo', 'suficiente de sal', 'suficiente de pimienta', 'al gusto de perejil, picado, para decorar']","['Sobre una tabla, pica por separado las papas y las zanahorias en cubitos medianos y pica finamente el apio. Reserva.', 'En una olla, hierve agua con sal. Agrega las papas y las zanahorias y cocina por 8 minutos aproximadamente. Reserva', 'En un bowl, mezcla la crema, la mayonesa, la mostaza, la sal y la pimienta.', 'Una vez cocidos los vegetales, retíralos del agua, escurre perfectamente y pasa todo a un bowl.', 'Mientras los vegetales aún están calientes, vierte la mezcla de mayonesa, los chícharos y el apio y mezcla hasta incorporar por completo.', 'Sirve la ensalada rusa con un poco de perejil picado.']",https://cdn7.kiwilimon.com/brightcove/9989/9989.jpg
